Store_name,Category,Latitude,Longitude,City
Sip n Bite,grocery,13.0227216,77.633722,Bengaluru
Sheema's Shop Right,grocery,12.97106,77.5366692,Bengaluru
Mukesh Food Corner,grocery,12.8834858,77.5831375,Bengaluru
Aiswarya Store,grocery,12.9591124,77.6611987,Bengaluru
Chowdeshwari,grocery,12.92519,77.5880201,Bengaluru
Sri Balaji Provision Store,grocery,12.9415499,77.6278423,Bengaluru
Sri Murugan Stores,grocery,12.9509475,77.6229392,Bengaluru
Manju Departmental Store,grocery,12.9077495,77.6492278,Bengaluru
HSR Rice Traders,grocery,12.907878,77.6491188,Bengaluru
Manjunath Stores,grocery,13.0318659,77.580016,Bengaluru
The Green Fruits,grocery,12.9266801,77.6088941,Bengaluru
Namma MTR,grocery,12.9872272,77.5542226,Bengaluru
Sri Balaji Provisional Store,grocery,12.917961,77.6320638,Bengaluru
Sri Sai Ram,grocery,12.9180068,77.6320655,Bengaluru
Shahana Home Needs,grocery,13.0109802,77.5398828,Bengaluru
Pragya provision store,grocery,12.8949095,77.633215,Bengaluru
KPN Fresh,grocery,12.9188057,77.6104406,Bengaluru
