Store_name,Category,Latitude,Longitude,City
,pharmacy,12.9314045,77.5924636,Bengaluru
,pharmacy,12.9601717,77.6387672,Bengaluru
,pharmacy,12.9603255,77.638371,Bengaluru
Ashwin Pharma,pharmacy,12.9600171,77.6454021,Bengaluru
MedPlus,pharmacy,12.9605409,77.6372314,Bengaluru
,pharmacy,12.9600511,77.6371358,Bengaluru
,pharmacy,12.9586589,77.6375328,Bengaluru
,pharmacy,12.9581727,77.6402029,Bengaluru
Apollo Pharmacy,pharmacy,12.9686175,77.6489441,Bengaluru
MedPlus,pharmacy,13.0310427,77.6353019,Bengaluru
Sathya Medicals,pharmacy,13.0183245,77.6364269,Bengaluru
Srinivasa Medicals,pharmacy,12.9919585,77.7178824,Bengaluru
,pharmacy,13.0360931,77.5317332,Bengaluru
Sri Manjunath Medical & General stores,pharmacy,12.9248306,77.6642849,Bengaluru
Dava Sagar,pharmacy,13.0257078,77.6517029,Bengaluru
Apollo Pharmacy,pharmacy,13.0230704,77.6508206,Bengaluru
Pushyamee,pharmacy,13.0006252,77.5652425,Bengaluru
Manipal North Side Pharmacy,pharmacy,13.0009721,77.5640265,Bengaluru
Keshava Medical & General Stores,pharmacy,13.0059079,77.578507,Bengaluru
S. S. Pharma,pharmacy,12.9965785,77.6045552,Bengaluru
A K Medicals,pharmacy,12.9568547,77.7148261,Bengaluru
Trust Medicals,pharmacy,12.9606501,77.7138068,Bengaluru
Saisudha Medical,pharmacy,13.0129089,77.5742856,Bengaluru
Greeshma,pharmacy,12.8761792,77.6169752,Bengaluru
,pharmacy,12.960424,77.646233,Bengaluru
,pharmacy,12.9622433,77.6470269,Bengaluru
Amruth Medicals,pharmacy,13.0050896,77.623376,Bengaluru
Apollo Pharmacy,pharmacy,13.0052518,77.6233121,Bengaluru
Sri Murti medicals,pharmacy,12.9141731,77.6134947,Bengaluru
MedPlus,pharmacy,12.9136384,77.6074718,Bengaluru
Apollo Pharmacy,pharmacy,12.9133476,77.6101635,Bengaluru
Radhakrishna Pharmacy,pharmacy,12.9408942,77.5456204,Bengaluru
Sri Balaji Medicals and General Stores,pharmacy,12.9403595,77.5458556,Bengaluru
Apollo Pharmacy,pharmacy,12.9332899,77.5427058,Bengaluru
SNR Pharmacy,pharmacy,12.989865,77.717934,Bengaluru
Aruna Medicals,pharmacy,12.9855008,77.718421,Bengaluru
Apollo Pharmacy,pharmacy,12.9602864,77.7136786,Bengaluru
Vijay Medicals,pharmacy,13.0044271,77.6037741,Bengaluru
,pharmacy,12.9192711,77.6684296,Bengaluru
Trust,pharmacy,12.9851522,77.6737584,Bengaluru
