Store_name,Category,Latitude,Longitude,City
Foodworld,supermarket,12.9328185,77.5830433,Bengaluru
Family Mall,supermarket,12.9588137,77.6382484,Bengaluru
Spencers Express,supermarket,12.9591813,77.6382984,Bengaluru
More,supermarket,12.9595527,77.638381,Bengaluru
,supermarket,12.9621752,77.6373877,Bengaluru
Reliance Fresh,supermarket,13.0316253,77.6357141,Bengaluru
Shoba,supermarket,13.0306094,77.6349359,Bengaluru
Smart,supermarket,13.0298925,77.6347682,Bengaluru
Big Bazaar,supermarket,13.0476857,77.5742994,Bengaluru
Fresh Supermarket,supermarket,13.0263233,77.6319846,Bengaluru
Foodworld Supermarket,supermarket,13.0245569,77.6369992,Bengaluru
Nilgiris,supermarket,13.0492252,77.5474051,Bengaluru
Smart Bazaar,supermarket,12.9172203,77.5923138,Bengaluru
Reliance Fresh,supermarket,13.0042882,77.5710889,Bengaluru
Reliance smart,supermarket,13.0061977,77.5693737,Bengaluru
City Supermarket,supermarket,13.0397585,77.5555028,Bengaluru
Spencers Daily,supermarket,13.0400303,77.5555993,Bengaluru
,supermarket,12.9250029,77.664274,Bengaluru
More,supermarket,13.0224257,77.6508337,Bengaluru
Reliance Fresh,supermarket,13.0068052,77.5645334,Bengaluru
Reliance Fresh,supermarket,13.0342258,77.5691996,Bengaluru
Reliance Fresh,supermarket,13.0290015,77.5615609,Bengaluru
Families Hypermarket,supermarket,12.9186665,77.6708407,Bengaluru
Family Super Market,supermarket,12.9967968,77.6045046,Bengaluru
More,supermarket,12.9998077,77.5996733,Bengaluru
Arafa Stores,supermarket,12.9969644,77.6041292,Bengaluru
"Namdhari Fresh, Frazer Town",supermarket,13.0009809,77.6138953,Bengaluru
Sri Balaji Stores,supermarket,13.014268,77.5737154,Bengaluru
Mini Bazaar,supermarket,13.0068553,77.6241647,Bengaluru
More,supermarket,12.9409932,77.544655,Bengaluru
Big Bazaar,supermarket,12.9265852,77.5509047,Bengaluru
Food World,supermarket,12.925511,77.5501686,Bengaluru
Ragam Supermarket,supermarket,12.9643853,77.7135826,Bengaluru
Smart Point,supermarket,12.9655927,77.7018319,Bengaluru
New City Super Market,supermarket,12.9851864,77.6736268,Bengaluru
Reliance Fresh,supermarket,12.985926,77.6688553,Bengaluru
